,TradingDateUtc,DeliveryDateUtc,SettlementClearing,delivery_period_name,Commodity,Region,Sub-Region
129,2014-02-03,2014-04-01,24.788,Month,Natural Gas,Germany,NCG (formerly EGT_H)
130,2014-02-03,2014-02-01,25.65,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
131,2014-02-03,2014-03-01,24.88,Month,Natural Gas,Germany,NCG (formerly EGT_H)
132,2014-02-03,2014-03-01,24.775,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
133,2014-02-03,2014-02-01,25.611,Month,Natural Gas,Germany,NCG (formerly EGT_H)
134,2014-02-04,2014-04-01,24.65,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
135,2014-02-04,2014-04-01,24.725,Month,Natural Gas,Germany,NCG (formerly EGT_H)
136,2014-02-04,2014-03-01,24.677,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
137,2014-02-04,2014-03-01,24.691,Month,Natural Gas,Germany,NCG (formerly EGT_H)
138,2014-02-04,2014-02-01,25.65,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
139,2014-02-04,2014-02-01,25.611,Month,Natural Gas,Germany,NCG (formerly EGT_H)
140,2014-02-05,2014-04-01,24.498,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
141,2014-02-05,2014-03-01,24.627,Month,Natural Gas,Germany,NCG (formerly EGT_H)
142,2014-02-05,2014-02-01,25.65,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
143,2014-02-05,2014-02-01,25.611,Month,Natural Gas,Germany,NCG (formerly EGT_H)
144,2014-02-05,2014-03-01,24.545,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
145,2014-02-05,2014-04-01,24.602,Month,Natural Gas,Germany,NCG (formerly EGT_H)
146,2014-02-06,2014-04-01,24.826,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
147,2014-02-06,2014-04-01,24.933,Month,Natural Gas,Germany,NCG (formerly EGT_H)
148,2014-02-06,2014-02-01,25.65,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
149,2014-02-06,2014-03-01,25.003,Month,Natural Gas,Germany,NCG (formerly EGT_H)
150,2014-02-06,2014-03-01,24.925,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
151,2014-02-06,2014-02-01,25.611,Month,Natural Gas,Germany,NCG (formerly EGT_H)
152,2014-02-07,2014-02-01,25.65,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
153,2014-02-07,2014-02-01,25.611,Month,Natural Gas,Germany,NCG (formerly EGT_H)
154,2014-02-07,2014-04-01,24.923,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
155,2014-02-07,2014-04-01,24.961,Month,Natural Gas,Germany,NCG (formerly EGT_H)
156,2014-02-07,2014-03-01,24.923,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
157,2014-02-07,2014-03-01,24.942,Month,Natural Gas,Germany,NCG (formerly EGT_H)
158,2014-02-10,2014-04-01,24.767,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
159,2014-02-10,2014-02-01,25.611,Month,Natural Gas,Germany,NCG (formerly EGT_H)
160,2014-02-10,2014-03-01,24.659,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
161,2014-02-10,2014-04-01,24.835,Month,Natural Gas,Germany,NCG (formerly EGT_H)
162,2014-02-10,2014-02-01,25.65,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
163,2014-02-10,2014-03-01,24.69,Month,Natural Gas,Germany,NCG (formerly EGT_H)
164,2014-02-11,2014-02-01,25.65,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
165,2014-02-11,2014-03-01,24.709,Month,Natural Gas,Germany,NCG (formerly EGT_H)
166,2014-02-11,2014-04-01,24.739,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
167,2014-02-11,2014-04-01,24.814,Month,Natural Gas,Germany,NCG (formerly EGT_H)
168,2014-02-11,2014-03-01,24.665,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
169,2014-02-11,2014-02-01,25.611,Month,Natural Gas,Germany,NCG (formerly EGT_H)
170,2014-02-12,2014-02-01,25.65,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
171,2014-02-12,2014-02-01,25.611,Month,Natural Gas,Germany,NCG (formerly EGT_H)
172,2014-02-12,2014-03-01,24.916,Month,Natural Gas,Germany,GPL (formerly BEB/GUD)
173,2014-02-12,2014-03-01,24.984,Month,Natural Gas,Germany,NCG (formerly EGT_H)
